id|data_iniSE|casos|ibge_code|cidade|uf|cep|latitude|longitude
0|2015-11-08|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
1|2015-12-27|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
2|2015-12-15|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
3|2015-09-20|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
4|2015-12-13||230010|Abaiara|CE|63240-000|-7.3364|-39.0613
5|2015-05-19|12.0|314960|Pequi|MG|35667-000|-19.6104|-44.6336
6|2015-05-26|11.0|314960|Pequi|MG|35667-000|-19.6104|-44.6336
7|2015-06-02|0.0|314960|Pequi|MG|35667-000|-19.6104|-44.6336
8|2015-06-09|2.0|314960|Pequi|MG|35667-000|-19.6104|-44.6336
9|2015-06-16|3,0|314960|Pequi|MG|35667-000|-19.6104|-44.6336
10|2015-03-17|10.0|320220|Fundão|ES|29185-000|-19.9898|-40.3158
11|2015-03-24|2.0|320220|Fundão|ES|29185-000|-19.9898|-40.3158
12|2015-03-03|12.0|320220|Fundão|ES|29185-000|-19.9898|-40.3158
13|2015-03-10|16.0|320220|Fundão|ES|29185-000|-19.9898|-40.3158
14|2015-03-17|8.0|320220|Fundão|ES|29185-000|-19.9898|-40.3158
15|2015-02-15|10.0|330200|Itaguaí|RJ|23800-000|-22.8546|-43.8189
16|2015-02-22|10.0|330200|Itaguaí|RJ|23800-000|-22.8546|-43.8189
17|2015-03-01|11.0|330200|Itaguaí|RJ|23800-000|-22.8546|-43.8189
18|2015-03-08|25.0|330200|Itaguaí|RJ|23800-000|-22.8546|-43.8189
19|2015-03-15|36.0|330200|Itaguaí|RJ|23800-000|-22.8546|-43.8189
20|2015-03-22|11.0|410305|Boa Vista Da Aparecida|PR|85780-000|-25.4371|-53.4129
21|2015-04-17|11.0|410305|Boa Vista Da Aparecida|PR|85780-000|-25.4371|-53.4129
22|2015-07-08|1.0|410305|Boa Vista Da Aparecida|PR|85780-000|-25.4371|-53.4129
23|2015-03-05|um|410305|Boa Vista Da Aparecida|PR|85780-000|-25.4371|-53.4129
24|2015-03-26|2.0|410305|Boa Vista Da Aparecida|PR|85780-000|-25.4371|-53.4129
